108,83,Jacinta Salazar,77,8,7f,Briar,Victor,1,5,3,3.024
109,83,Argent Melanger,55,7,2m,Micra,6,6,8,1,2.941
110,83,Crusader Rhodes,68,9,11m,Cato,8,4,7,1,2.926
111,82,Lucas O'Hara,75,9,9m,Lancelot,8,7,7,1,2.926
112,82,Archer Fields,54,9,2m,Quint,3,10,9,3,2.870
113,82,Mason Hammerfell,69,8,2m,Cato,5,10,11,1,2.867
114,82,Emery Moreno,65,8,1f,Cici,6,5,4,3,2.841
115,82,Mel Clark,55,7,3f,Jimmylost,6,4,9,0,2.795
116,82,Tamron Rhodes,75,9,11m,Dee,9,3,3,2,2.787
117,82,Saummerand Demheaux,75,9,2m,Arcticwoof,9,4,3,2,2.787
118,81,Marchello Donner,69,8,6m,Kire,6,5,8,1,2.767
119,81,Scout Krigel,73,8,4f,Lalia,6,5,8,1,2.767
120,81,Gunner La Torre,70,8,4f,Lalia,5,11,11,1,2.723
121,81,Carex Julian,55,7,7m,Matt,6,8,8,1,2.652
122,81,Charlotte Brownings,67,8,1f,Rave,7,3,6,1,2.632
123,81,Owen Bowers-Fox,67,8,8m,Mylee,6,6,8,1,2.623
124,80,Preston Garrity,70,8,4m,Flyss,6,6,8,1,2.623
125,80,Destiny Lenstil,61,8,2f,Stare,7,6,7,1,2.597
126,80,Kiera Dempsey,62,9,1F,South,4,12,6,4,2.551
127,80,Aenor Kembry,58,8,3f,Nofo,7,4,6,1,2.488
128,80,Josephine Emerson,77,8,11f,Solo,6,5,5,3,2.447
129,80,Ivy Soren,63,8,9f,Clover,6,10,9,1,2.443
130,79,Sue Tate,70,8,7m,Pogue,6,7,10,0,2.442
131,79,Curtis Grant,62,9,7M,Charade,7,8,8,1,2.417
132,79,Jango Graves,55,7,6m,Tori,6,7,7,1,2.399
133,79,Naveen Casovnik,62,9,6F,Arx,8,5,6,1,2.385
134,79,Sierra Birdbrook,64,8,12f,Clover,5,8,9,1,2.361
135,79,Wyatt O'Connor,70,8,6m,Mylee,8,2,4,1,2.352
136,79,Eye Saw,66,9,4m,Elegant,6,9,11,0,2.303
137,78,Mikhail Ivashkov,64,8,6m,Kiah,7,3,3,2,2.271
138,78,Wylla Lysander,75,9,3f,Azaleah,7,12,9,0,2.271
139,78,Pandora Woodards,61,8,8m,Rook,4,12,9,2,2.244
140,78,Roger Strangways-Teach,73,8,4m,Aya,7,3,5,1,2.234
141,78,Jim McCoy,65,8,3m,Cato,6,6,7,1,2.225
142,78,Prism Nixton,69,8,3m,Arrows,6,6,7,1,2.225
143,77,Achilles Muto,73,8,2f,Pogue,5,9,9,1,2.216
144,77,Semper Capone,55,7,5m,Semper,7,3,4,1,2.208
145,77,Cerise Mephistopheles,65,8,3f,Aya,4,12,11,1,2.207
146,77,Eszter Summit,75,9,7f,Kari,5,16,9,1,2.154
147,77,Nash Harvey,56,9,2f,Aya,8,4,5,1,2.131
148,77,Kite Tide,72,9,4m,Elegant,7,5,4,2,2.092
149,76,Jem Morgan,67,8,1m,Pthalorarity,5,13,8,2,2.074
150,76,Scout Watson,65,8,11f,Rosetta,5,8,6,2,2.000
151,76,Zack Detroff,57,8,8m,Greenbeads,5,6,1,4,1.965
152,76,Heather Elliot,62,9,11F,Chelsey,7,6,4,2,1.947
153,76,Finley Combes,78,9,9m,Frankel,8,3,5,2,1.904
154,76,Anni Dorst,66,9,3f,Dee,7,6,8,0,1.873
155,75,Andal Ferde,64,8,5m,Semper,6,6,4,2,1.865
156,75,Zuka Faybi,57,8,11f,Nervoux,6,3,5,1,1.863
157,75,Luyu Nimmons,56,9,3f,Cameron,7,7,2,3,1.840
158,75,Midas Farrow,59,7,2m,Zak,5,8,7,1,1.831
159,75,Luciana Trevers,64,8,5f,Stare,5,9,8,1,1.819
160,75,Will Atlas,56,9,8m,Shrimp,5,8,6,2,1.794
161,75,Shrol Raidan,60,8,8m,Meg,6,6,8,0,1.791
162,74,Francesca Levroux,66,9,1f,Dreamer,8,4,2,2,1.771
163,74,Stella Calloway,68,9,11f,Cait,6,5,4,2,1.762
164,74,Cade Riene,78,9,3m,Calla,6,9,11,0,1.759
165,74,Ari Newton,66,9,11m,Kousei,5,11,7,2,1.758
166,74,Tyler Westbrook,71,9,5m,Lancelot,8,7,5,1,1.698
167,74,Castor Karmichael,75,9,7f,Python,8,8,6,0,1.697
168,73,Mordecai Wu,74,8,4m,Elegant,3,16,10,2,1.693
169,73,Rodrick Benstaloe,71,9,10m,Mattio,5,17,9,2,1.688
170,73,Inkling Marling,60,8,5f,Stare,6,7,8,0,1.646
171,73,Jana Hale,61,8,7f,Gxk,6,7,8,0,1.646
172,73,Dan Johnwayne,67,8,2m,Aya,5,10,10,0,1.637
173,73,Kitty Keeni,71,9,6m,Anzie,7,8,6,1,1.622
174,72,Ailis Copper,62,9,12F,Nofo,5,9,8,1,1.612
175,72,Dustyn Chase,71,9,2m,Dars,7,11,7,1,1.586
176,72,Cody Bowers-Fox,71,9,8m,Mylee,5,15,8,2,1.579
177,72,Daniella Lamonde,57,8,9f,Dancin,6,5,5,1,1.574
178,72,Asher Rainer,70,8,7m,RoyalGhost,6,8,8,0,1.502
179,72,Phyllis Roman,62,9,3F,Mcmarti99,4,13,10,1,1.500
180,71,Riordan Einfallen,75,9,6m,Tom,7,11,7,0,1.476
181,71,Damion Winters,62,9,10M,SininChaos,5,10,8,1,1.468
182,71,Joshua Rowan,56,9,9m,Kitsune,8,3,5,0,1.443
183,71,Atlas White,73,8,9m,Nyte,6,6,5,1,1.430
184,71,Mahlah Shea,61,8,3f,Greenbeads,8,3,2,1,1.413
185,71,Atlas Lumiere,75,9,1m,Kousei,4,22,9,1,1.391
186,71,Rolf Parks,74,8,9m,Emsrocks,5,9,9,0,1.384
187,70,Torka Hammerfell,74,8,2m,Cato,4,15,10,1,1.377
188,70,Savannah Carey,66,9,8f,Stare,6,10,9,0,1.364
189,70,Hero Marvray,76,9,4m,Thundy,6,9,10,0,1.361
190,70,Viridian Harper,63,8,1m,Greenbeads,6,9,8,0,1.358
191,70,Astrid Shaw,72,9,2f,Ali,8,4,3,1,1.336
192,70,Ruth Foster,71,9,1f,Cameo,7,10,8,0,1.296
193,69,Cam Dialate,76,9,5f,Puppy,6,10,6,2,1.291
194,69,Drace Vandel,64,8,3m,Dars,6,7,5,1,1.286
